epoch,loss,lr,recall_2,specificity_at_sensitivity_2,val_loss,val_recall_2,val_specificity_at_sensitivity_2
0,0.22650465369224548,0.001,0.5941020250320435,0.7856060862541199,0.2980312705039978,0.6111618876457214,0.9989483952522278
1,0.049860384315252304,0.001,0.9205715656280518,0.9997656345367432,0.1349005550146103,0.6625178456306458,0.9999771118164062
2,0.03281623125076294,0.001,0.9537118673324585,0.9999485611915588,0.12302272021770477,0.7626034617424011,0.9999885559082031
3,0.028442488983273506,0.001,0.9615549445152283,0.9999600052833557,0.07778388261795044,0.8582643270492554,0.9999942779541016
4,0.025972465053200722,0.001,0.9662036895751953,0.9999828338623047,0.0788467600941658,0.8748216032981873,1.0
5,0.023729944601655006,0.001,0.9684852957725525,0.9999828338623047,0.06531304121017456,0.896374523639679,1.0
6,0.02186552621424198,0.001,0.97110915184021,1.0,0.04331742972135544,0.9280331134796143,1.0
7,0.02052503265440464,0.001,0.9727062582969666,0.9999942779541016,0.03820215165615082,0.9350842237472534,1.0
8,0.019553761929273605,0.001,0.974845290184021,1.0,0.035607244819402695,0.9400513768196106,1.0
9,0.018641289323568344,0.001,0.9758434891700745,1.0,0.02274250239133835,0.9615472555160522,1.0
