epoch,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity_1,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity_1
0,0.24701164662837982,0.001,0.4244321286678314,0.6654317378997803,0.3611430525779724,0.7730851173400879,0.9669134020805359
1,0.06678913533687592,0.001,0.8561295866966248,0.9965519905090332,0.24477365612983704,0.860707700252533,0.9927694797515869
2,0.04147098958492279,0.001,0.9195359349250793,0.9995718598365784,0.1581062227487564,0.9081142544746399,0.9993879199028015
3,0.03175834193825722,0.001,0.9441748261451721,0.9999086856842041,0.09487897902727127,0.942958652973175,0.9999599456787109
4,0.02693137899041176,0.001,0.958188533782959,0.9999657273292542,0.05177580565214157,0.9567429423332214,0.9999885559082031
5,0.02418544888496399,0.001,0.9644200801849365,0.9999942779541016,0.038818564265966415,0.966519832611084,1.0
6,0.022044116631150246,0.001,0.9684691429138184,0.9999885559082031,0.036470673978328705,0.970186173915863,1.0
7,0.020658936351537704,0.001,0.9717428088188171,0.9999885559082031,0.02836156263947487,0.9718630313873291,1.0
8,0.01961161568760872,0.001,0.9746431708335876,0.9999942779541016,0.023430006578564644,0.9725735187530518,1.0
9,0.01913992315530777,0.001,0.9748729467391968,0.9999885559082031,0.026385728269815445,0.9738240838050842,1.0
