epoch,loss,lr,sensitivity_at_specificity_5,specificity_at_sensitivity_6,val_loss,val_sensitivity_at_specificity_5,val_specificity_at_sensitivity_6
0,0.27724379301071167,0.001,0.4294862449169159,0.6000000238418579,0.29784950613975525,0.7473923563957214,0.9268879890441895
1,0.14282380044460297,0.001,0.7978060245513916,0.9598572850227356,0.16608935594558716,0.8301548957824707,0.9820494651794434
2,0.11073337495326996,0.001,0.8447864651679993,0.9897074103355408,0.11447132378816605,0.8597129583358765,0.9939078092575073
3,0.09365116059780121,0.001,0.862016499042511,0.9951876401901245,0.08872292190790176,0.8757993578910828,0.9965277314186096
4,0.08109134435653687,0.001,0.8740774989128113,0.9971457123756409,0.0748712345957756,0.8901520371437073,0.9981866478919983
5,0.07028770446777344,0.001,0.8851621150970459,0.9982189536094666,0.06469777971506119,0.904675304889679,0.99922776222229
6,0.06242607533931732,0.001,0.8955862522125244,0.9987955093383789,0.05710842087864876,0.9174079895019531,0.999679684638977
7,0.057338129729032516,0.001,0.9003245234489441,0.9990238547325134,0.057754166424274445,0.921955406665802,0.9997425675392151
8,0.05472223833203316,0.001,0.9033972024917603,0.9991779923439026,0.06115545332431793,0.925934374332428,0.9997711777687073
9,0.052336402237415314,0.001,0.9091117978096008,0.9993606209754944,0.0481855608522892,0.934773325920105,0.999885618686676
10,0.04981423541903496,0.001,0.9126726388931274,0.9994576573371887,0.05214091017842293,0.9344606995582581,0.9998798966407776
11,0.05000053346157074,0.001,0.9115239977836609,0.9994805455207825,0.06957317143678665,0.9308512210845947,0.9998570084571838
12,0.049350712448358536,0.001,0.9123280644416809,0.9994462728500366,0.06068529188632965,0.9356259703636169,0.9999313354492188
13,0.04896290600299835,0.001,0.9114378690719604,0.999497652053833,0.057191796600818634,0.9380418062210083,0.9999370574951172
14,0.046655744314193726,0.001,0.9174683690071106,0.9996175169944763,0.05842351168394089,0.9404007196426392,0.9999370574951172
15,0.046211861073970795,0.001,0.9195072054862976,0.9995718598365784,0.07177872955799103,0.935910165309906,0.9999313354492188
16,0.04628383368253708,0.001,0.9187605977058411,0.9996117949485779,0.05906791612505913,0.9431576132774353,0.9999485015869141
17,0.04496719315648079,0.001,0.9174396395683289,0.9996575117111206,0.045303329825401306,0.9471365809440613,0.9999485015869141
18,0.044371310621500015,0.001,0.9216035604476929,0.9996688961982727,0.03793716803193092,0.9497228860855103,0.9999771118164062
19,0.04366127401590347,0.001,0.9230393767356873,0.9996575117111206,0.053000178188085556,0.943271279335022,0.9999427795410156
20,0.0434354804456234,0.001,0.9218906760215759,0.9996803402900696,0.0504336915910244,0.9458860158920288,0.9999542236328125
21,0.04425668716430664,0.001,0.9207707643508911,0.9996803402900696,0.05538482591509819,0.9440670609474182,0.9999485015869141
22,0.04164663329720497,0.001,0.926313042640686,0.999811589717865,0.06329985707998276,0.9450333714485168,0.9999485015869141
23,0.04126188904047012,0.001,0.9275766015052795,0.999788761138916,0.0834297314286232,0.9414238929748535,0.9999485015869141
24,0.04026562348008156,0.001,0.9282945394515991,0.999811589717865,0.0409928560256958,0.9496944546699524,0.9999713897705078
25,0.038362547755241394,0.001,0.9361341595649719,0.9999371767044067,0.0583316870033741,0.9480175971984863,0.9999656677246094
26,0.037585821002721786,0.001,0.9408724308013916,0.9998972415924072,0.03777804970741272,0.9517976641654968,0.9999656677246094
27,0.03769850358366966,0.001,0.937340259552002,0.9998344779014587,0.038212064653635025,0.9528776407241821,0.9999713897705078
28,0.03625832498073578,0.001,0.9432559013366699,0.9998744130134583,0.03811302408576012,0.9538155198097229,0.9999713897705078
29,0.035070400685071945,0.001,0.9465295672416687,0.9999486207962036,0.03890031948685646,0.9550092220306396,0.9999771118164062
